,input,output,demand_met,median_process_time_hours,max_process_time_hours,run,name
1,30132,30132,1.0,17.63,17.63,0,30k_example
1,30132,30132,1.0,17.82,17.82,1,30k_example
1,30132,30132,1.0,17.67,17.67,2,30k_example
1,30132,30132,1.0,17.63,17.63,3,30k_example
1,30132,27528,0.91,17.8,17.8,4,30k_example
1,30132,30132,1.0,17.5,17.5,5,30k_example
1,30132,30132,1.0,17.52,17.52,6,30k_example
1,30132,30132,1.0,17.33,17.33,7,30k_example
1,30132,30132,1.0,17.48,17.48,8,30k_example
1,30132,30132,1.0,17.45,17.45,9,30k_example
1,30132,30132,1.0,17.38,17.38,10,30k_example
1,30132,30132,1.0,17.5,17.5,11,30k_example
1,30132,30132,1.0,17.47,17.47,12,30k_example
1,30132,30132,1.0,17.83,17.83,13,30k_example
1,30132,30132,1.0,17.62,17.62,14,30k_example
1,30132,30132,1.0,17.67,17.67,15,30k_example
1,30132,29760,0.99,17.47,17.47,16,30k_example
1,30132,30132,1.0,17.42,17.42,17,30k_example
1,30132,30132,1.0,17.68,17.68,18,30k_example
1,30132,27528,0.91,17.83,17.83,19,30k_example
1,30132,30132,1.0,17.57,17.57,20,30k_example
1,30132,30132,1.0,17.42,17.42,21,30k_example
1,30132,30132,1.0,17.62,17.62,22,30k_example
1,30132,30132,1.0,17.57,17.57,23,30k_example
1,30132,30132,1.0,17.57,17.57,24,30k_example
1,30132,30132,1.0,17.48,17.48,25,30k_example
1,30132,30132,1.0,17.35,17.35,26,30k_example
1,30132,30132,1.0,17.8,17.8,27,30k_example
1,30132,30132,1.0,17.77,17.77,28,30k_example
1,30132,30132,1.0,17.78,17.78,29,30k_example
