,,min,mean,median,max
,,Result,Result,Result,Result
result_type,name,,,,
demand_met,equipment_no_breakdown,1.0,1.0,1.0,1.0
demand_met,equipment_with_breakdown,1.0,1.0,1.0,1.0
demand_met,fte_no_breaks,0.88,0.9919999999999999,1.0,1.0
demand_met,fte_with_breaks,0.86,0.9913333333333332,1.0,1.0
demand_met,workstations_only,1.0,1.0,1.0,1.0
input,equipment_no_breakdown,30132.0,30132.0,30132.0,30132.0
input,equipment_with_breakdown,30132.0,30132.0,30132.0,30132.0
input,fte_no_breaks,30132.0,30132.0,30132.0,30132.0
input,fte_with_breaks,30132.0,30132.0,30132.0,30132.0
input,workstations_only,30132.0,30132.0,30132.0,30132.0
max_process_time_hours,equipment_no_breakdown,22.67,22.815,22.825,22.95
max_process_time_hours,equipment_with_breakdown,22.68,23.043999999999997,22.85,23.87
max_process_time_hours,fte_no_breaks,22.7,22.997333333333334,22.88,23.9
max_process_time_hours,fte_with_breaks,22.57,23.09033333333333,23.03,23.92
max_process_time_hours,workstations_only,22.72,22.853666666666665,22.85,23.23
median_process_time_hours,equipment_no_breakdown,22.67,22.815,22.825,22.95
median_process_time_hours,equipment_with_breakdown,22.68,23.043999999999997,22.85,23.87
median_process_time_hours,fte_no_breaks,22.7,22.997333333333334,22.88,23.9
median_process_time_hours,fte_with_breaks,22.57,23.09033333333333,23.03,23.92
median_process_time_hours,workstations_only,22.72,22.853666666666665,22.85,23.23
output,equipment_no_breakdown,30132.0,30132.0,30132.0,30132.0
output,equipment_with_breakdown,30132.0,30132.0,30132.0,30132.0
output,fte_no_breaks,26412.0,29884.0,30132.0,30132.0
output,fte_with_breaks,26040.0,29846.8,30132.0,30132.0
output,workstations_only,30132.0,30132.0,30132.0,30132.0
