resource,name,Available,Used,Utilisation
beckman_rna_extraction,base,11.0,5.103157894736842,0.4639234449760766
human_data_analysis,base,10.0,2.0726315789473686,0.20726315789473684
human_pcr_1,base,4.0,1.2028571428571428,0.3007142857142857
human_pcr_2,base,4.0,1.3142857142857143,0.32857142857142857
human_pcr_3,base,2.0,0.35555555555555557,0.17777777777777778
human_rna_prep_1,base,4.0,1.0057142857142858,0.25142857142857145
human_rna_prep_2,base,4.0,1.04,0.26
human_rna_prep_3,base,3.0,0.13518518518518519,0.04506172839506173
human_sample_prep_1,base,29.0,26.892857142857142,0.9273399014778325
human_sample_prep_2,base,29.0,26.59,0.9168965517241379
human_sample_prep_3,base,4.0,3.6907407407407407,0.9226851851851852
human_sample_preprocess_1,base,10.0,6.1971428571428575,0.6197142857142857
human_sample_preprocess_2,base,10.0,2.477142857142857,0.24771428571428572
human_sample_receipt_1,base,1.0,1.0,1.0
human_sample_receipt_2,base,1.0,1.0,1.0
human_sample_receipt_3,base,1.0,1.0,1.0
pcr_plate_reader,base,8.0,3.013157894736842,0.37664473684210525
pcr_plate_stamper,base,4.0,0.7457894736842106,0.18644736842105264
sample_heat_incubator,base,8.0,0.9610526315789474,0.12013157894736842
transfer,base,1.0,0.33263157894736844,0.33263157894736844
