process,priority,value,run,name
sample_preprocess_in,1,108.0,0,base
sample_preprocess_out,1,132.0,0,base
sample_receipt_in,1,563.0,0,base
sample_receipt_out,1,602.0,0,base
sample_prep_manual_in,1,603.0,0,base
sample_prep_manual_out,1,641.0,0,base
sample_heat_in,1,665.0,0,base
sample_heat_out,1,695.0,0,base
rna_extraction_in,1,728.0,0,base
rna_extraction_out,1,855.0,0,base
pcr_prep_in,1,868.0,0,base
pcr_prep_out,1,893.0,0,base
pcr_in,1,893.0,0,base
pcr_out,1,1006.0,0,base
data_analysis_in,1,1006.0,0,base
data_analysis_out,1,1020.0,0,base
sample_preprocess_in,2,255.0,0,base
sample_preprocess_out,2,269.0,0,base
sample_receipt_in,2,2067.0,0,base
sample_receipt_out,2,2104.0,0,base
sample_prep_manual_in,2,2105.0,0,base
sample_prep_manual_out,2,2141.0,0,base
sample_heat_in,2,2163.0,0,base
sample_heat_out,2,2194.0,0,base
rna_extraction_in,2,2209.0,0,base
rna_extraction_out,2,2366.0,0,base
pcr_prep_in,2,2376.0,0,base
pcr_prep_out,2,2395.0,0,base
pcr_in,2,2396.0,0,base
pcr_out,2,2498.0,0,base
data_analysis_in,2,2499.0,0,base
data_analysis_out,2,2513.0,0,base
sample_preprocess_in,1,115.0,1,base
sample_preprocess_out,1,204.0,1,base
sample_receipt_in,1,568.0,1,base
sample_receipt_out,1,608.0,1,base
sample_prep_manual_in,1,608.0,1,base
sample_prep_manual_out,1,649.0,1,base
sample_heat_in,1,671.0,1,base
sample_heat_out,1,699.0,1,base
rna_extraction_in,1,720.0,1,base
rna_extraction_out,1,848.0,1,base
pcr_prep_in,1,877.0,1,base
pcr_prep_out,1,899.0,1,base
pcr_in,1,900.0,1,base
pcr_out,1,1021.0,1,base
data_analysis_in,1,1022.0,1,base
data_analysis_out,1,1035.0,1,base
sample_preprocess_in,2,257.0,1,base
sample_preprocess_out,2,270.0,1,base
sample_receipt_in,2,1061.0,1,base
sample_receipt_out,2,1095.0,1,base
sample_prep_manual_in,2,1096.0,1,base
sample_prep_manual_out,2,1471.0,1,base
sample_heat_in,2,1471.0,1,base
sample_heat_out,2,1501.0,1,base
rna_extraction_in,2,1531.0,1,base
rna_extraction_out,2,1660.0,1,base
pcr_prep_in,2,1678.0,1,base
pcr_prep_out,2,1693.0,1,base
pcr_in,2,1693.0,1,base
pcr_out,2,1793.0,1,base
data_analysis_in,2,1794.0,1,base
data_analysis_out,2,1807.0,1,base
sample_preprocess_in,1,110.0,2,base
sample_preprocess_out,1,194.0,2,base
sample_receipt_in,1,571.0,2,base
sample_receipt_out,1,606.0,2,base
sample_prep_manual_in,1,607.0,2,base
sample_prep_manual_out,1,652.0,2,base
sample_heat_in,1,667.0,2,base
sample_heat_out,1,694.0,2,base
rna_extraction_in,1,728.0,2,base
rna_extraction_out,1,854.0,2,base
pcr_prep_in,1,875.0,2,base
pcr_prep_out,1,916.0,2,base
pcr_in,1,917.0,2,base
pcr_out,1,1028.0,2,base
data_analysis_in,1,1029.0,2,base
data_analysis_out,1,1039.0,2,base
sample_preprocess_in,2,286.0,2,base
sample_preprocess_out,2,298.0,2,base
sample_receipt_in,2,2098.0,2,base
sample_receipt_out,2,2138.0,2,base
sample_prep_manual_in,2,2139.0,2,base
sample_prep_manual_out,2,2182.0,2,base
sample_heat_in,2,2187.0,2,base
sample_heat_out,2,2215.0,2,base
rna_extraction_in,2,2260.0,2,base
rna_extraction_out,2,2384.0,2,base
pcr_prep_in,2,2396.0,2,base
pcr_prep_out,2,2412.0,2,base
pcr_in,2,2412.0,2,base
pcr_out,2,2514.0,2,base
data_analysis_in,2,2515.0,2,base
data_analysis_out,2,2529.0,2,base
sample_preprocess_in,1,119.0,3,base
sample_preprocess_out,1,284.0,3,base
sample_receipt_in,1,605.0,3,base
sample_receipt_out,1,643.0,3,base
sample_prep_manual_in,1,644.0,3,base
sample_prep_manual_out,1,682.0,3,base
sample_heat_in,1,700.0,3,base
sample_heat_out,1,727.0,3,base
rna_extraction_in,1,763.0,3,base
rna_extraction_out,1,912.0,3,base
pcr_prep_in,1,921.0,3,base
pcr_prep_out,1,939.0,3,base
pcr_in,1,939.0,3,base
pcr_out,1,1043.0,3,base
data_analysis_in,1,1044.0,3,base
data_analysis_out,1,1055.0,3,base
sample_preprocess_in,2,297.0,3,base
sample_preprocess_out,2,311.0,3,base
sample_receipt_in,2,2173.0,3,base
sample_receipt_out,2,2209.0,3,base
sample_prep_manual_in,2,2209.0,3,base
sample_prep_manual_out,2,2251.0,3,base
sample_heat_in,2,2254.0,3,base
sample_heat_out,2,2284.0,3,base
rna_extraction_in,2,2362.0,3,base
rna_extraction_out,2,2505.0,3,base
pcr_prep_in,2,2511.0,3,base
pcr_prep_out,2,2526.0,3,base
pcr_in,2,2527.0,3,base
pcr_out,2,2633.0,3,base
data_analysis_in,2,2633.0,3,base
data_analysis_out,2,2644.0,3,base
sample_preprocess_in,1,107.0,4,base
sample_preprocess_out,1,131.0,4,base
sample_receipt_in,1,572.0,4,base
sample_receipt_out,1,626.0,4,base
sample_prep_manual_in,1,626.0,4,base
sample_prep_manual_out,1,665.0,4,base
sample_heat_in,1,681.0,4,base
sample_heat_out,1,711.0,4,base
rna_extraction_in,1,738.0,4,base
rna_extraction_out,1,863.0,4,base
pcr_prep_in,1,879.0,4,base
pcr_prep_out,1,910.0,4,base
pcr_in,1,911.0,4,base
pcr_out,1,1026.0,4,base
data_analysis_in,1,1026.0,4,base
data_analysis_out,1,1037.0,4,base
sample_preprocess_in,2,251.0,4,base
sample_preprocess_out,2,264.0,4,base
sample_receipt_in,2,2101.0,4,base
sample_receipt_out,2,2144.0,4,base
sample_prep_manual_in,2,2145.0,4,base
sample_prep_manual_out,2,2176.0,4,base
sample_heat_in,2,2181.0,4,base
sample_heat_out,2,2212.0,4,base
rna_extraction_in,2,2262.0,4,base
rna_extraction_out,2,2387.0,4,base
pcr_prep_in,2,2404.0,4,base
pcr_prep_out,2,2423.0,4,base
pcr_in,2,2424.0,4,base
pcr_out,2,2530.0,4,base
data_analysis_in,2,2531.0,4,base
data_analysis_out,2,2542.0,4,base
sample_preprocess_in,1,103.0,5,base
sample_preprocess_out,1,125.0,5,base
sample_receipt_in,1,543.0,5,base
sample_receipt_out,1,579.0,5,base
sample_prep_manual_in,1,579.0,5,base
sample_prep_manual_out,1,622.0,5,base
sample_heat_in,1,645.0,5,base
sample_heat_out,1,675.0,5,base
rna_extraction_in,1,699.0,5,base
rna_extraction_out,1,824.0,5,base
pcr_prep_in,1,846.0,5,base
pcr_prep_out,1,860.0,5,base
pcr_in,1,861.0,5,base
pcr_out,1,967.0,5,base
data_analysis_in,1,968.0,5,base
data_analysis_out,1,983.0,5,base
sample_preprocess_in,2,242.0,5,base
sample_preprocess_out,2,257.0,5,base
sample_receipt_in,2,1065.0,5,base
sample_receipt_out,2,1131.0,5,base
sample_prep_manual_in,2,1132.0,5,base
sample_prep_manual_out,2,1480.0,5,base
sample_heat_in,2,1498.0,5,base
sample_heat_out,2,1525.0,5,base
rna_extraction_in,2,1554.0,5,base
rna_extraction_out,2,1681.0,5,base
pcr_prep_in,2,1696.0,5,base
pcr_prep_out,2,1711.0,5,base
pcr_in,2,1711.0,5,base
pcr_out,2,1813.0,5,base
data_analysis_in,2,1813.0,5,base
data_analysis_out,2,1827.0,5,base
sample_preprocess_in,1,119.0,6,base
sample_preprocess_out,1,244.0,6,base
sample_receipt_in,1,588.0,6,base
sample_receipt_out,1,629.0,6,base
sample_prep_manual_in,1,629.0,6,base
sample_prep_manual_out,1,666.0,6,base
sample_heat_in,1,686.0,6,base
sample_heat_out,1,718.0,6,base
rna_extraction_in,1,749.0,6,base
rna_extraction_out,1,884.0,6,base
pcr_prep_in,1,902.0,6,base
pcr_prep_out,1,927.0,6,base
pcr_in,1,927.0,6,base
pcr_out,1,1032.0,6,base
data_analysis_in,1,1032.0,6,base
data_analysis_out,1,1044.0,6,base
sample_preprocess_in,2,257.0,6,base
sample_preprocess_out,2,268.0,6,base
sample_receipt_in,2,2067.0,6,base
sample_receipt_out,2,2107.0,6,base
sample_prep_manual_in,2,2107.0,6,base
sample_prep_manual_out,2,2142.0,6,base
sample_heat_in,2,2161.0,6,base
sample_heat_out,2,2187.0,6,base
rna_extraction_in,2,2211.0,6,base
rna_extraction_out,2,2344.0,6,base
pcr_prep_in,2,2361.0,6,base
pcr_prep_out,2,2383.0,6,base
pcr_in,2,2383.0,6,base
pcr_out,2,2484.0,6,base
data_analysis_in,2,2484.0,6,base
data_analysis_out,2,2498.0,6,base
sample_preprocess_in,1,102.0,7,base
sample_preprocess_out,1,120.0,7,base
sample_receipt_in,1,561.0,7,base
sample_receipt_out,1,590.0,7,base
sample_prep_manual_in,1,591.0,7,base
sample_prep_manual_out,1,627.0,7,base
sample_heat_in,1,649.0,7,base
sample_heat_out,1,681.0,7,base
rna_extraction_in,1,708.0,7,base
rna_extraction_out,1,841.0,7,base
pcr_prep_in,1,859.0,7,base
pcr_prep_out,1,874.0,7,base
pcr_in,1,875.0,7,base
pcr_out,1,981.0,7,base
data_analysis_in,1,981.0,7,base
data_analysis_out,1,993.0,7,base
sample_preprocess_in,2,262.0,7,base
sample_preprocess_out,2,274.0,7,base
sample_receipt_in,2,2050.0,7,base
sample_receipt_out,2,2091.0,7,base
sample_prep_manual_in,2,2091.0,7,base
sample_prep_manual_out,2,2124.0,7,base
sample_heat_in,2,2139.0,7,base
sample_heat_out,2,2165.0,7,base
rna_extraction_in,2,2193.0,7,base
rna_extraction_out,2,2337.0,7,base
pcr_prep_in,2,2350.0,7,base
pcr_prep_out,2,2370.0,7,base
pcr_in,2,2371.0,7,base
pcr_out,2,2482.0,7,base
data_analysis_in,2,2483.0,7,base
data_analysis_out,2,2493.0,7,base
sample_preprocess_in,1,102.0,8,base
sample_preprocess_out,1,127.0,8,base
sample_receipt_in,1,573.0,8,base
sample_receipt_out,1,608.0,8,base
sample_prep_manual_in,1,609.0,8,base
sample_prep_manual_out,1,646.0,8,base
sample_heat_in,1,668.0,8,base
sample_heat_out,1,694.0,8,base
rna_extraction_in,1,729.0,8,base
rna_extraction_out,1,855.0,8,base
pcr_prep_in,1,873.0,8,base
pcr_prep_out,1,906.0,8,base
pcr_in,1,906.0,8,base
pcr_out,1,1014.0,8,base
data_analysis_in,1,1015.0,8,base
data_analysis_out,1,1026.0,8,base
sample_preprocess_in,2,254.0,8,base
sample_preprocess_out,2,265.0,8,base
sample_receipt_in,2,2052.0,8,base
sample_receipt_out,2,2100.0,8,base
sample_prep_manual_in,2,2100.0,8,base
sample_prep_manual_out,2,2133.0,8,base
sample_heat_in,2,2146.0,8,base
sample_heat_out,2,2174.0,8,base
rna_extraction_in,2,2197.0,8,base
rna_extraction_out,2,2332.0,8,base
pcr_prep_in,2,2360.0,8,base
pcr_prep_out,2,2383.0,8,base
pcr_in,2,2383.0,8,base
pcr_out,2,2485.0,8,base
data_analysis_in,2,2485.0,8,base
data_analysis_out,2,2496.0,8,base
sample_preprocess_in,1,105.0,9,base
sample_preprocess_out,1,135.0,9,base
sample_receipt_in,1,579.0,9,base
sample_receipt_out,1,614.0,9,base
sample_prep_manual_in,1,614.0,9,base
sample_prep_manual_out,1,653.0,9,base
sample_heat_in,1,676.0,9,base
sample_heat_out,1,703.0,9,base
rna_extraction_in,1,730.0,9,base
rna_extraction_out,1,859.0,9,base
pcr_prep_in,1,872.0,9,base
pcr_prep_out,1,902.0,9,base
pcr_in,1,902.0,9,base
pcr_out,1,1013.0,9,base
data_analysis_in,1,1014.0,9,base
data_analysis_out,1,1026.0,9,base
sample_preprocess_in,2,244.0,9,base
sample_preprocess_out,2,260.0,9,base
sample_receipt_in,2,1063.0,9,base
sample_receipt_out,2,1100.0,9,base
sample_prep_manual_in,2,1100.0,9,base
sample_prep_manual_out,2,1473.0,9,base
sample_heat_in,2,1475.0,9,base
sample_heat_out,2,1504.0,9,base
rna_extraction_in,2,1529.0,9,base
rna_extraction_out,2,1654.0,9,base
pcr_prep_in,2,1681.0,9,base
pcr_prep_out,2,1697.0,9,base
pcr_in,2,1697.0,9,base
pcr_out,2,1799.0,9,base
data_analysis_in,2,1799.0,9,base
data_analysis_out,2,1811.0,9,base
sample_preprocess_in,1,97.0,10,base
sample_preprocess_out,1,113.0,10,base
sample_receipt_in,1,575.0,10,base
sample_receipt_out,1,611.0,10,base
sample_prep_manual_in,1,612.0,10,base
sample_prep_manual_out,1,653.0,10,base
sample_heat_in,1,667.0,10,base
sample_heat_out,1,694.0,10,base
rna_extraction_in,1,732.0,10,base
rna_extraction_out,1,859.0,10,base
pcr_prep_in,1,874.0,10,base
pcr_prep_out,1,915.0,10,base
pcr_in,1,916.0,10,base
pcr_out,1,1021.0,10,base
data_analysis_in,1,1022.0,10,base
data_analysis_out,1,1034.0,10,base
sample_preprocess_in,2,245.0,10,base
sample_preprocess_out,2,257.0,10,base
sample_receipt_in,2,2140.0,10,base
sample_receipt_out,2,2179.0,10,base
sample_prep_manual_in,2,2180.0,10,base
sample_prep_manual_out,2,2219.0,10,base
sample_heat_in,2,2228.0,10,base
sample_heat_out,2,2254.0,10,base
rna_extraction_in,2,2289.0,10,base
rna_extraction_out,2,2422.0,10,base
pcr_prep_in,2,2454.0,10,base
pcr_prep_out,2,2471.0,10,base
pcr_in,2,2471.0,10,base
pcr_out,2,2575.0,10,base
data_analysis_in,2,2575.0,10,base
data_analysis_out,2,2587.0,10,base
sample_preprocess_in,1,105.0,11,base
sample_preprocess_out,1,128.0,11,base
sample_receipt_in,1,580.0,11,base
sample_receipt_out,1,621.0,11,base
sample_prep_manual_in,1,622.0,11,base
sample_prep_manual_out,1,661.0,11,base
sample_heat_in,1,683.0,11,base
sample_heat_out,1,716.0,11,base
rna_extraction_in,1,739.0,11,base
rna_extraction_out,1,868.0,11,base
pcr_prep_in,1,895.0,11,base
pcr_prep_out,1,923.0,11,base
pcr_in,1,923.0,11,base
pcr_out,1,1023.0,11,base
data_analysis_in,1,1024.0,11,base
data_analysis_out,1,1038.0,11,base
sample_preprocess_in,2,257.0,11,base
sample_preprocess_out,2,271.0,11,base
sample_receipt_in,2,2105.0,11,base
sample_receipt_out,2,2142.0,11,base
sample_prep_manual_in,2,2143.0,11,base
sample_prep_manual_out,2,2184.0,11,base
sample_heat_in,2,2205.0,11,base
sample_heat_out,2,2233.0,11,base
rna_extraction_in,2,2264.0,11,base
rna_extraction_out,2,2393.0,11,base
pcr_prep_in,2,2408.0,11,base
pcr_prep_out,2,2424.0,11,base
pcr_in,2,2424.0,11,base
pcr_out,2,2528.0,11,base
data_analysis_in,2,2528.0,11,base
data_analysis_out,2,2542.0,11,base
sample_preprocess_in,1,100.0,12,base
sample_preprocess_out,1,119.0,12,base
sample_receipt_in,1,578.0,12,base
sample_receipt_out,1,612.0,12,base
sample_prep_manual_in,1,612.0,12,base
sample_prep_manual_out,1,652.0,12,base
sample_heat_in,1,666.0,12,base
sample_heat_out,1,693.0,12,base
rna_extraction_in,1,730.0,12,base
rna_extraction_out,1,856.0,12,base
pcr_prep_in,1,874.0,12,base
pcr_prep_out,1,893.0,12,base
pcr_in,1,894.0,12,base
pcr_out,1,1000.0,12,base
data_analysis_in,1,1001.0,12,base
data_analysis_out,1,1016.0,12,base
sample_preprocess_in,2,241.0,12,base
sample_preprocess_out,2,255.0,12,base
sample_receipt_in,2,1062.0,12,base
sample_receipt_out,2,1098.0,12,base
sample_prep_manual_in,2,1099.0,12,base
sample_prep_manual_out,2,1472.0,12,base
sample_heat_in,2,1476.0,12,base
sample_heat_out,2,1503.0,12,base
rna_extraction_in,2,1529.0,12,base
rna_extraction_out,2,1658.0,12,base
pcr_prep_in,2,1676.0,12,base
pcr_prep_out,2,1692.0,12,base
pcr_in,2,1692.0,12,base
pcr_out,2,1794.0,12,base
data_analysis_in,2,1794.0,12,base
data_analysis_out,2,1805.0,12,base
sample_preprocess_in,1,106.0,13,base
sample_preprocess_out,1,130.0,13,base
sample_receipt_in,1,564.0,13,base
sample_receipt_out,1,608.0,13,base
sample_prep_manual_in,1,609.0,13,base
sample_prep_manual_out,1,648.0,13,base
sample_heat_in,1,661.0,13,base
sample_heat_out,1,688.0,13,base
rna_extraction_in,1,720.0,13,base
rna_extraction_out,1,849.0,13,base
pcr_prep_in,1,865.0,13,base
pcr_prep_out,1,880.0,13,base
pcr_in,1,881.0,13,base
pcr_out,1,985.0,13,base
data_analysis_in,1,986.0,13,base
data_analysis_out,1,998.0,13,base
sample_preprocess_in,2,237.0,13,base
sample_preprocess_out,2,252.0,13,base
sample_receipt_in,2,1054.0,13,base
sample_receipt_out,2,1097.0,13,base
sample_prep_manual_in,2,1098.0,13,base
sample_prep_manual_out,2,1471.0,13,base
sample_heat_in,2,1478.0,13,base
sample_heat_out,2,1507.0,13,base
rna_extraction_in,2,1519.0,13,base
rna_extraction_out,2,1647.0,13,base
pcr_prep_in,2,1653.0,13,base
pcr_prep_out,2,1668.0,13,base
pcr_in,2,1668.0,13,base
pcr_out,2,1770.0,13,base
data_analysis_in,2,1771.0,13,base
data_analysis_out,2,1784.0,13,base
sample_preprocess_in,1,109.0,14,base
sample_preprocess_out,1,126.0,14,base
sample_receipt_in,1,572.0,14,base
sample_receipt_out,1,607.0,14,base
sample_prep_manual_in,1,607.0,14,base
sample_prep_manual_out,1,644.0,14,base
sample_heat_in,1,671.0,14,base
sample_heat_out,1,698.0,14,base
rna_extraction_in,1,720.0,14,base
rna_extraction_out,1,850.0,14,base
pcr_prep_in,1,869.0,14,base
pcr_prep_out,1,883.0,14,base
pcr_in,1,884.0,14,base
pcr_out,1,989.0,14,base
data_analysis_in,1,990.0,14,base
data_analysis_out,1,1004.0,14,base
sample_preprocess_in,2,234.0,14,base
sample_preprocess_out,2,245.0,14,base
sample_receipt_in,2,1039.0,14,base
sample_receipt_out,2,1087.0,14,base
sample_prep_manual_in,2,1087.0,14,base
sample_prep_manual_out,2,1205.0,14,base
sample_heat_in,2,1227.0,14,base
sample_heat_out,2,1450.0,14,base
rna_extraction_in,2,1476.0,14,base
rna_extraction_out,2,1601.0,14,base
pcr_prep_in,2,1622.0,14,base
pcr_prep_out,2,1640.0,14,base
pcr_in,2,1641.0,14,base
pcr_out,2,1743.0,14,base
data_analysis_in,2,1744.0,14,base
data_analysis_out,2,1755.0,14,base
sample_preprocess_in,1,97.0,15,base
sample_preprocess_out,1,129.0,15,base
sample_receipt_in,1,566.0,15,base
